Predicted age composition of catch-at-age,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2000,obs,0.00254922,0.0114215,0.0409924,0.0287038,0.0997103,0.194794,0.0888511,0.0949597,0.103622,0.0718213,0.0701679,0.0514228,0.0349791,0.0213801,0.0155383,0.0690863
2001,obs,0.0402834,0.0265103,0.0390928,0.195684,0.101692,0.0650774,0.121496,0.10514,0.0344,0.0538285,0.0522513,0.0479528,0.0324556,0.0253893,0.0139278,0.0448178
2002,obs,0.000130207,0.104298,0.143941,0.108264,0.184999,0.0660173,0.0577041,0.104909,0.0612998,0.0310543,0.0271155,0.0274536,0.0239054,0.0200493,0.0103364,0.0285228
2003,obs,0.00314774,0.0499153,0.156041,0.216059,0.110897,0.0706078,0.0219111,0.0776614,0.0928721,0.0469382,0.0227725,0.0246698,0.0241816,0.0255193,0.0114795,0.0453266
2004,obs,0.000432972,0.0598714,0.1756,0.21534,0.125569,0.0849284,0.0925626,0.0477101,0.0472633,0.042317,0.0216417,0.0164287,0.0136092,0.0106962,0.00706957,0.0389606
2005,obs,0.0186166,0.219448,0.126462,0.167177,0.0603214,0.0384138,0.0397897,0.0556591,0.0443218,0.053744,0.0505134,0.0318922,0.019523,0.014038,0.00943146,0.0506482
2006,obs,0.00544777,0.015423,0.089635,0.0699934,0.202389,0.104416,0.0713275,0.0793448,0.0794313,0.059592,0.0496229,0.0317725,0.029796,0.0252253,0.0145089,0.0720749
2007,obs,0.00212764,0.00277919,0.0362914,0.558032,0.103585,0.0912163,0.0507911,0.033792,0.0199476,0.0183537,0.0147095,0.0123278,0.0105462,0.00825658,0.00563568,0.0316091
2008,obs,0.00300789,0.00970936,0.0630331,0.100266,0.376791,0.0701597,0.0974502,0.0693963,0.0469286,0.0349793,0.0192724,0.0181113,0.0177776,0.0108933,0.0092888,0.0529352
2009,obs,0.00133148,0.00421985,0.0597908,0.115944,0.0768118,0.307735,0.0800147,0.0719157,0.0700757,0.0495321,0.0273321,0.0230703,0.0250203,0.0174141,0.0143213,0.0554714
2010,obs,0.00194795,0.0342722,0.0648054,0.110746,0.10917,0.0538629,0.105556,0.108151,0.0883966,0.0964499,0.049346,0.0327099,0.0350436,0.0254738,0.0187801,0.0652892
2011,obs,0,0.00501189,0.0369905,0.156729,0.0936709,0.124154,0.0593679,0.234248,0.0690558,0.0443376,0.0430914,0.031751,0.0213534,0.0175931,0.0129496,0.0496963
2012,obs,0.00328047,0.0117857,0.074249,0.153334,0.0732309,0.0575992,0.0591546,0.102882,0.152931,0.0963073,0.0395707,0.040808,0.0294111,0.0252045,0.0189405,0.0613109
2013,obs,0.000842031,0.0151761,0.0293536,0.12323,0.0552314,0.0573071,0.0500323,0.133433,0.080179,0.132865,0.10261,0.0519416,0.0398888,0.0284039,0.0186128,0.0808937
2014,obs,0.000910299,0.0520873,0.064522,0.0945164,0.0485645,0.0598613,0.0190617,0.0599614,0.110101,0.115453,0.10909,0.0863146,0.0554281,0.0328163,0.0184062,0.0729059
2015,obs,0,0.00014652,0.06,0.0865934,0.0386081,0.0312271,0.0576832,0.0811813,0.0659524,0.122079,0.120659,0.0926832,0.0673901,0.0487363,0.0298626,0.0971978
