"","IndexNums","Years","1","2","3","4","5","6","7","8","9","10"
"56",3,1995,0,0,0,0,0,6811.53246805863,9480.75020593321,11377.529966599,7183.28473545623,32742.4244766902
"57",3,1996,0,0,0,0,0,12657.0666717517,14780.3700941521,19546.659656976,20870.782757419,49279.846413086
"58",3,1997,0,0,0,0,0,9929.681535572,12262.5526074171,13604.1573396234,16120.3148205299,37425.060427461
"59",3,1998,0,0,0,0,0,9419.12654738845,12502.1741723153,14588.5171356872,14483.4423255849,37451.8368803594
"60",3,1999,0,0,0,0,0,6584.40706218593,11618.3432423735,14674.5083069086,15170.0733494325,35810.7198808333
"61",3,2000,0,0,0,0,0,5310.5652126713,6280.31738874579,10568.1789166893,11965.8895632912,27085.9728405427
"62",3,2001,0,0,0,0,0,3448.33288695523,6258.7932036393,7014.56947898153,10612.8618986561,25762.6314495381
"63",3,2002,0,0,0,0,0,2691.72689002076,3599.75971847765,6285.49105599666,6312.44266163102,21679.7887752635
"64",3,2003,0,0,0,0,0,3297.13093051862,3403.22494978421,4321.86403108488,6786.76607055302,20482.5372637726
"65",3,2004,0,0,0,0,0,4687.63833755136,9124.57566790482,8946.4801014105,10105.8111462368,42591.4506231276
"66",3,2005,0,0,0,0,0,4332.55701733604,5648.41833252921,10446.2718044891,9163.08510298423,36473.6776994059
"67",3,2006,0,0,0,0,0,4224.68483579527,5800.11823915021,7128.61584239267,11863.6580307238,35015.1517305335
"68",3,2007,0,0,0,0,0,6663.97453886754,6487.07399718293,8503.552666497,9312.79248406345,40824.0927039777
"69",3,2008,0,0,0,0,0,400.854294914841,684.721570672737,638.533157077669,753.029184485919,3064.79177264319
"70",3,2009,0,0,0,0,0,298.027687782062,353.210898117323,573.820548518694,479.723247194154,1986.79871855874
"71",4,1990,0,0,0,948.81196517757,2181.90745102202,3227.35084756836,4043.91055001976,7994.29613881085,6728.61151897317,14684.4014408018
"72",4,1991,0,0,0,3633.51975821627,4566.44404860683,10119.702225348,9489.81534782274,11021.0446352324,20915.439502308,34732.3744567719
"73",4,1992,0,0,0,1981.72120108359,3900.56952508799,4586.34701905714,6285.51225650753,5472.57903956268,6073.68431621783,17893.6593541463
"74",4,1993,0,0,0,2973.8871416811,6410.73402106952,11981.9040083436,8558.66555279165,10880.7264921696,9028.02037550181,25600.5433971564
"75",4,1994,0,0,0,2067.53022451581,3839.80280465122,7856.72530289702,9019.01961244574,5862.5708316837,7176.33931420183,14693.7274235414
"76",4,1995,0,0,0,4503.91076582333,8472.22592487804,14640.3603020608,18393.1164551597,19483.7281526649,11663.3205991538,25806.2411289672
"77",4,1996,0,0,0,1579.70485661185,3154.22507448559,5658.36129245856,5974.67692303445,6989.32890628447,7092.81349294656,8087.14469824758
"78",4,1997,0,0,0,2140.28511460627,5547.68164410401,10744.404664248,11987.1033558206,11750.3217682225,13216.7677451136,14849.9944020733
"79",4,1998,0,0,0,4278.6308886363,7643.06327993371,19502.5266431545,23367.2711914041,24070.2938313334,22660.051611144,28432.5392552771
"80",4,1999,0,0,0,3028.90223862208,7934.15618387673,13803.2128015304,21987.3502889115,24516.0648233266,24033.2217162421,27517.246446105
