Predicted age composition of Catch-at-age,,1,2,3,4,5,6,7,8,9,10
2000,obs,0.111816,0.295142,0.19608,0.144529,0.0416823,0.026516,0.0241126,0.0229352,0.0315506,0.1056355
2001,obs,0.00933885,0.371339,0.175017,0.214035,0.0429002,0.0314755,0.0252059,0.0184842,0.0245184,0.08768667
2002,obs,0.0365511,0.426952,0.25452,0.0896388,0.032873,0.0251992,0.0139712,0.0156925,0.0140897,0.09051234
2003,obs,0.0456263,0.441942,0.184856,0.0423942,0.0542957,0.0374351,0.026076,0.0142229,0.0261276,0.12702462
2004,obs,0.130022,0.258399,0.232594,0.0632469,0.0292391,0.0252537,0.0489347,0.0283894,0.016588,0.16733363
2005,obs,0.212849,0.187529,0.107441,0.0822939,0.050298,0.037389,0.0344851,0.038147,0.035265,0.2143033
2006,obs,0.0692045,0.080818,0.167319,0.158868,0.0928765,0.0777579,0.0466668,0.0453654,0.0615056,0.1996182
2007,obs,0.0247018,0.123788,0.0812628,0.191074,0.221746,0.113492,0.0435504,0.0311692,0.024197,0.1450201
2008,obs,0.00553551,0.294612,0.117208,0.152534,0.1556,0.0681577,0.0447246,0.0383815,0.0317656,0.09148213
2009,obs,0.0106115,0.111005,0.0903496,0.109951,0.102516,0.181148,0.13562,0.0536956,0.049975,0.15512823
2010,obs,0.00722208,0.117177,0.126213,0.15017,0.183572,0.106108,0.11571,0.0578701,0.045038,0.09091958
2011,obs,0,0.0579195,0.0729357,0.131661,0.229634,0.0942647,0.0574213,0.0670877,0.0656325,0.2234431
2012,obs,0.000170679,0.00527863,0.0772481,0.131418,0.163416,0.0791546,0.062969,0.0753334,0.106302,0.2987093
2013,obs,0.000317002,0.168758,0.0501082,0.112002,0.107869,0.0657469,0.0818667,0.0843233,0.0746806,0.25432814
2014,obs,0,0.178811,0.0584254,0.1482,0.0852517,0.029312,0.0215553,0.0374344,0.0842157,0.35679473
2015,obs,1.10E-05,0.164467,0.0945502,0.220093,0.0714334,0.0205079,0.0164643,0.0293077,0.0755234,0.3076419
